"Gene","Protein","Protein names","UniProt Localization","HPA Localization","OpenCell Localization","SimChrom Category","SimChrom-SL Category","MS-based studies","Abundance, ppm","PFAM"
"undefinedTWIST2","Q8WVJ9","Twist-related protein 2","Cytoplasm (ECO:0000269), Nucleus (ECO:0000255), Nucleus (ECO:0000269)","Nucleoli (Supported), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.015","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedUBP1","Q9NZI7","Upstream-binding protein 1","Nucleus (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Alabert et al., 2014; Shi et al., 2021","10.3","CP2(CP2 transcription factor,PF04516);SAM_3(SAM domain (Sterile alpha motif),PF18016)"
"undefinedUNCX","A6NJT0","Homeobox protein unc-4 homolog","Nucleus (ECO:0000255)","Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.007","Homeodomain(Homeodomain,PF00046)"
"undefinedUSF1","P22415","Upstream stimulatory factor 1","null","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014","13.4","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedUSF2","Q15853","Upstream stimulatory factor 2","null","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Ginno et al., 2018; Itzhak et al., 2016","9.13","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedUSF3","Q68DE3","Basic helix-loop-helix domain-containing protein USF3","Nucleus (ECO:0000255)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.0009","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedUSP22","Q9UPT9","Ubiquitin carboxyl-terminal hydrolase 22","Nucleus (ECO:0000250)","Nuclear speckles (Approved)","nucleoplasm (annotations_grade_3)","Histone modification, Histone PTM erasers, DNA-templated transcription, Regulation of transcription, General TFs","Histone PTM erasers","Kustatscher et al., 2014","4.58","zf-UBP(Zn-finger in ubiquitin-hydrolases and other protein,PF02148);UCH(Ubiquitin carboxyl-terminal hydrolase,PF00443)"
"undefinedVAX1","Q5SQQ9","Ventral anterior homeobox 1","Nucleus (ECO:0000255)","Nucleoli rim (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","Homeodomain(Homeodomain,PF00046)"
"undefinedVAX2","Q9UIW0","Ventral anterior homeobox 2","Nucleus (ECO:0000305)","Nuclear speckles (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.199","Homeodomain(Homeodomain,PF00046)"
"undefinedVDR","P11473","Vitamin D3 receptor","Cytoplasm (ECO:0000269), Nucleus (ECO:0000255), Nucleus (ECO:0000269)","Cytosol (Approved), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs, Nuclear hormone receptors","Nuclear hormone receptors","Itzhak et al., 2016","0.338","zf-C4(Zinc finger, C4 type (two domains),PF00105);Hormone_recep(Ligand-binding domain of nuclear hormone receptor,PF00104)"
"undefinedVENTX","O95231","Homeobox protein VENTX","Nucleus (ECO:0000305)","Nucleoli fibrillar center (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","Homeodomain(Homeodomain,PF00046)"
"undefinedVEZF1","Q14119","Vascular endothelial zinc finger 1","Nucleus (ECO:0000269)","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Alabert et al., 2014; Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014; Ugur et al., 2023","9.03","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2_4(C2H2-type zinc finger,PF13894);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedVSX1","Q9NZR4","Visual system homeobox 1","Nucleus (ECO:0000250)","Nucleoli (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.017","Homeodomain(Homeodomain,PF00046)"
"undefinedVSX2","P58304","Visual system homeobox 2","Nucleus (ECO:0000250)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.126","Homeodomain(Homeodomain,PF00046)"
"undefinedWIZ","O95785","Protein Wiz","Nucleus (ECO:0000250)","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Alabert et al., 2014; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Ugur et al., 2023","10.3","null"
"undefinedWT1","P19544","Wilms tumor protein","Cytoplasm (ECO:0000250), Nucleoplasm (ECO:0000269), Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269)","Cytosol (Approved), Nucleoplasm (Enhanced)","null","Methylated DNA binding, DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Methylated DNA binding","Shi et al., 2021","0.338","WT1(Wilm's tumour protein,PF02165);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedXBP1","P17861","X-box-binding protein 1","Cytoplasm (ECO:0000250), Cytoplasm (ECO:0000269), Endoplasmic reticulum (ECO:0000269), Endoplasmic reticulum membrane (ECO:0000269), Endoplasmic reticulum membrane (ECO:0000303), Membrane (ECO:0000269), Nucleus (ECO:0000269)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","1.36","null"
"undefinedYY1","P25490","Transcriptional repressor protein YY1","Nucleus matrix (ECO:0000269)","Nuclear bodies (Supported), Nucleoli fibrillar center (Supported), Nucleoplasm (Supported)","nucleoplasm (annotations_grade_3)","Chromatin remodelers, DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs, DNA metabolic processes, DNA repair, Telomere-associated","Chromatin remodelers","Alabert et al., 2014; Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011","43.5","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedYY2","O15391","Transcription factor YY2","Nucleus (ECO:0000305)","Nuclear bodies (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Alabert et al., 2014; Itzhak et al., 2016; Kustatscher et al., 2014","7.3","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZBED1","O96006","E3 SUMO-protein ligase ZBED1","Nucleus (ECO:0000269), PML body (ECO:0000269)","Nuclear membrane (Approved), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Alabert et al., 2014; Kustatscher et al., 2014","1.67","zf-BED(BED zinc finger,PF02892);Dimer_Tnp_hAT(hAT family C-terminal dimerisation region,PF05699)"
"undefinedZBED2","Q9BTP6","Zinc finger BED domain-containing protein 2","Nucleus (ECO:0000305)","Cytosol (Approved), Mitochondria (Approved), Nuclear bodies (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","zf-BED(BED zinc finger,PF02892)"
"undefinedZBED3","Q96IU2","Zinc finger BED domain-containing protein 3","Cytoplasm (ECO:0000250), Membrane (ECO:0000250), Secreted (ECO:0000269)","Nucleoplasm (Approved), Plasma membrane (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.018","zf-BED(BED zinc finger,PF02892)"
"undefinedZBED4","O75132","Zinc finger BED domain-containing protein 4","Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Photoreceptor inner segment (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Itzhak et al., 2016; Ugur et al., 2023","0.216","zf-BED(BED zinc finger,PF02892);zf-BED(BED zinc finger,PF02892);zf-BED(BED zinc finger,PF02892);zf-BED(BED zinc finger,PF02892);Dimer_Tnp_hAT(hAT family C-terminal dimerisation region,PF05699)"
"undefinedZBED6","P86452","Zinc finger BED domain-containing protein 6","Cytoplasm (ECO:0000269), Nucleolus (ECO:0000250), Nucleus (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.224","zf-BED(BED zinc finger,PF02892);zf-BED(BED zinc finger,PF02892);Dimer_Tnp_hAT(hAT family C-terminal dimerisation region,PF05699)"
"undefinedZBTB1","Q9Y2K1","Zinc finger and BTB domain-containing protein 1","Nucleoplasm (ECO:0000269), Nucleus (ECO:0000269)","Nuclear membrane (Supported), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs, DNA metabolic processes, DNA repair","Housekeeping DNA-binding TFs","Kustatscher et al., 2014; Ugur et al., 2023","1.56","BTB(BTB/POZ domain,PF00651)"
"undefinedZBTB10","Q96DT7","Zinc finger and BTB domain-containing protein 10","Nucleus (ECO:0000305)","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs, Telomere-associated","Housekeeping DNA-binding TFs","Itzhak et al., 2016; Ugur et al., 2023","2.42","BTB(BTB/POZ domain,PF00651);zf-H2C2_5(C2H2-type zinc-finger domain,PF13909)"
"undefinedZBTB11","O95625","Zinc finger and BTB domain-containing protein 11","Nucleolus (ECO:0000269)","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Kustatscher et al., 2014; Shi et al., 2021","1.23","Integrase_H2C2(Integrase zinc binding domain,PF17921);BTB(BTB/POZ domain,PF00651);zf-C2H2_6(C2H2-type zinc finger,PF13912);zf-C2H2_6(C2H2-type zinc finger,PF13912);zf-C2H2_6(C2H2-type zinc finger,PF13912);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2_6(C2H2-type zinc finger,PF13912);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZBTB12","Q9Y330","Zinc finger and BTB domain-containing protein 12","Nucleus (ECO:0000305)","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Itzhak et al., 2016; Ugur et al., 2023","0.141","BTB(BTB/POZ domain,PF00651);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZBTB14","O43829","Zinc finger and BTB domain-containing protein 14","Nucleus (ECO:0000269)","Cytosol (Approved), Nucleoli (Supported), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Itzhak et al., 2016; Kustatscher et al., 2014; Shi et al., 2021","1.88","BTB(BTB/POZ domain,PF00651);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZBTB16","Q05516","Zinc finger and BTB domain-containing protein 16","Nuclear body (ECO:0000269), Nucleus (ECO:0000269)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.023","BTB(BTB/POZ domain,PF00651);zf-C2H2_6(C2H2-type zinc finger,PF13912);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2_6(C2H2-type zinc finger,PF13912);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZBTB17","Q13105","Zinc finger and BTB domain-containing protein 17","Nucleus (ECO:0000269)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Itzhak et al., 2016; Ugur et al., 2023","0.55","BTB(BTB/POZ domain,PF00651);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZBTB18","Q99592","Zinc finger and BTB domain-containing protein 18","null","Nuclear speckles (Supported), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs, Heterochromatin-associated","Housekeeping DNA-binding TFs","null","0.338","BTB(BTB/POZ domain,PF00651);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2_4(C2H2-type zinc finger,PF13894);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZBTB2","Q8N680","Zinc finger and BTB domain-containing protein 2","Nucleus (ECO:0000305)","Cytosol (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Itzhak et al., 2016; Kustatscher et al., 2014; Ugur et al., 2023","2.5","BTB(BTB/POZ domain,PF00651);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZBTB20","Q9HC78","Zinc finger and BTB domain-containing protein 20","Nucleus (ECO:0000250)","Nuclear bodies (Enhanced), Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Itzhak et al., 2016; Kustatscher et al., 2014","1.16","BTB(BTB/POZ domain,PF00651);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZBTB21","Q9ULJ3","Zinc finger and BTB domain-containing protein 21","Nucleus (ECO:0000269)","Nucleoplasm (Enhanced)","null","Methylated DNA binding, DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Methylated DNA binding","Alabert et al., 2014; Kustatscher et al., 2014; Shi et al., 2021; Ugur et al., 2023","6.82","BTB(BTB/POZ domain,PF00651);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf_C2H2_6(Zinc Finger domain,PF18450);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZBTB22","O15209","Zinc finger and BTB domain-containing protein 22","Nucleus (ECO:0000305)","Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.456","BTB(BTB/POZ domain,PF00651)"
"undefinedZBTB25","P24278","Zinc finger and BTB domain-containing protein 25","null","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.007","BTB(BTB/POZ domain,PF00651);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedZBTB26","Q9HCK0","Zinc finger and BTB domain-containing protein 26","Nucleus (ECO:0000305)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.018","BTB(BTB/POZ domain,PF00651);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
